dividend,fcfps,earnings_growth,de,mcap,current_ratio
0,2.75,-19.25,1.11,545,0.924055665
1,4.96,0.83,1.09,630,1.46857223
1,2.78,1.09,0.19,562,1.975875106
0,0.43,12.97,1.7,388,1.941997716
1,2.94,2.44,1.83,684,2.487466999
1,3.9,-6.29,0.46,621,1.783252522
1,1.09,-5.65,2.32,656,1.189733084
0,2.32,15,3.34,351,1.729519398
1,2.5,11.86,3.15,658,1.926789466
1,4.46,23.48,3.33,330,2.813534511
0,2.75,20.24,3.61,127,0.130219035
0,1.52,19.08,2.53,318,1.662392098
0,1.42,21.39,3.22,155,0.567528706
0,1.06,24.47,1.84,153,1.845205694
1,3.16,24.35,2.82,411,1.413293089
1,2.68,22.39,3.57,517,2.1049045
1,1.98,22.62,2.38,750,1.8154703
0,1.83,28.75,1.42,292,1.759152486
1,4.37,33.99,2.1,322,1.834702324
0,2.51,-3.95,2.09,342,1.430460184
1,2.52,-0.79,1.69,793,1.388667561
0,0.47,21.27,1.85,143,0.003717016
1,1.89,25.09,1.65,329,1.520532269
1,4.4,35.77,0.07,640,2.444476399
0,0.57,18.97,2.68,169,1.14259945
0,2.08,-14.71,2.54,597,1.103926865
1,2.18,22.51,0.8,316,1.825987229
1,3.93,5.88,1.92,678,1.906962138
1,1.8,24.79,2.43,472,1.579496586
1,4.59,21.47,0.06,441,1.610337963
1,1.62,9.92,0.86,430,1.37277818
0,0.24,-15.41,3.88,367,1.267147259
1,4.24,4.85,1.11,230,1.897061717
0,0.81,0.36,2.49,184,1.139427117
1,3.9,29.12,0.21,760,1.784688259
0,0.12,19.53,3.76,244,1.658324741
0,1.85,25.68,3.61,600,1.131475123
1,3.25,29.04,0.45,674,2.095603316
1,3.2,10.93,0.27,436,1.105706188
0,0.43,1.19,1.94,343,1.743551959
1,5,15.14,2.27,724,2.070668013
0,1.66,27.67,2.76,278,0.553188824
0,2.39,25.91,3.92,307,1.067767508
0,0.58,-10.14,1.6,160,0.741888636
0,0.46,8.95,3.51,261,0.899111524
1,2.06,18.1,1.52,404,2.041502946
1,3.98,6.2,1.82,340,2.349343546
0,2.3,-17.41,2.27,300,1.961410996
0,1.37,-9.34,1.64,381,1.90626352
1,1.98,10.15,2.93,423,1.984156495
0,1.64,20.04,3.41,121,1.150032566
0,1.58,27.72,3.3,356,1.306454841
0,0.62,0.58,1.58,490,0.356016842
0,2.5,-0.75,2.1,119,0.725684081
0,1.58,-8.18,3.65,111,0.870896609
1,1.46,38.99,0.51,729,1.079563299
1,1.8,39.03,0.32,528,1.281651879
0,0.73,-15.74,1.95,249,0.519860785
0,0.1,11.33,1.95,282,0.3996389
0,1.24,13.48,2.19,103,1.95458896
1,4.54,25.47,1.42,535,1.475803371
1,4.28,29.42,3,755,1.705781821
1,2.2,35,1.17,500,2.541009487
0,2.09,-2.12,1.23,212,1.380352688
1,2.18,12.43,0.1,512,1.840808583
0,2.53,-11.47,2.21,286,1.989846835
0,0.82,-13.51,3.99,366,0.505644215
0,1.66,0.93,3.11,241,0.05322431
0,2.54,28.95,2.89,204,0.109387692
1,2.9,31.88,0.23,398,1.477382528
0,2.28,17.79,3.67,132,0.75067781
1,2.53,9.01,2.51,337,2.601234632
1,2.3,3.66,2.11,473,1.911728122
1,3.38,9.61,2.58,618,1.566456134
0,1.66,0.26,3.78,341,1.385781214
0,0.7,-14.79,1.7,233,1.723065049
0,0.38,-7.43,3.18,398,0.292672652
1,1.99,32.03,3.1,774,2.771701734
0,2.94,29.13,3.19,355,1.152519198
0,0.46,8.98,2.48,305,1.654570412
1,3.95,6.82,2.64,581,2.336681932
1,1.59,-2.21,3,350,2.367186311
0,2.72,11.09,3.57,137,1.039892745
0,1.67,28.26,2.39,392,1.470693836
0,1.09,6.62,2.79,323,0.001435741
1,3.59,29.36,0.75,358,1.12049183
0,2.85,24.15,1.79,400,0.299036084
0,2.41,-4.38,2.74,393,1.594161026
0,1.34,14.61,3.34,339,0.593362778
0,2.95,-14.02,1.45,248,1.550709854
1,1.95,34.81,0.28,552,2.64034532
0,1.86,9.28,1.65,196,0.644373731
0,0.14,18.51,1.03,223,0.598449055
1,4.79,15.37,2.72,628,1.456249661
1,4.04,-3.5,1.45,661,0.678897
1,4.23,4.85,2.63,584,2.798240477
1,3.16,37.66,2.28,449,2.353170513
1,4.71,23.23,1.55,598,1.65567986
0,2.17,24.18,2.42,304,0.511068383
0,0.81,20.77,3.03,295,0.565266908
1,4.05,19.09,3.35,551,1.03249896
0,0.93,1.38,3.53,167,1.185097864
0,1.08,9.36,2.89,338,0.878275178
1,1.49,20.77,2.9,620,2.8439545
1,1.98,22.52,0.65,551,2.600523271
0,0.9,-3.54,2.61,151,0.554884768
1,2.48,-0.39,1.28,451,2.731673292
1,3.55,31.24,0.78,773,2.11432958
1,1.01,23.95,2.2,574,1.286817691
1,3.18,11.11,2.18,547,1.184569283
0,0.33,9.51,1.54,342,0.556648852
0,2.13,24.64,1.02,386,1.104688748
0,1.96,30.04,1.51,395,1.545339166
1,4.22,-4.22,0.71,755,1.671509596
1,2.61,13.33,3.17,752,2.214605056
1,4.38,-1.5,0.07,752,1.003799987
0,1.72,-5.1,2.78,151,1.975484058
0,2.07,0.14,2.84,133,1.91483109
1,2.37,23.47,1.65,628,2.305731689
0,0.31,-14.28,2.06,299,0.991733045
1,4.38,-2.83,3.15,496,2.465020369
1,4.8,0.43,2.11,641,0.889745
1,2.92,8.79,0.43,531,1.960365741
0,2.99,-14.9,2.44,320,0.430576944
0,1.12,4.67,2.54,361,0.249146104
0,0.09,9.24,1.29,250,1.146108928
0,2.53,23.1,3.67,269,0.607342565
1,4.7,9.17,0.67,493,1.604151734
1,4.53,12.41,1.65,673,2.329421274
1,1.69,35.17,2.85,372,1.623998734
1,4.66,32.69,1.52,546,2.371732734
0,0.36,-14.81,1.87,342,1.650598075
0,0.84,-5.05,3.73,238,0.959424439
0,2.21,0.22,2.15,241,1.397948256
1,1.2,32.05,1.5,450,1.486826762
0,1.26,24.27,3.86,206,0.059743431
0,1.54,-12.31,3.29,296,1.075276036
1,3.8,14.06,0.12,516,1.220614631
1,2.3,7.82,0.16,402,2.741763373
0,0.19,15.49,3.38,358,0.408636301
0,2.34,5.77,2.22,385,1.444149414
0,2.4,13.14,2.12,362,1.821675189
1,1.86,26.6,2.11,530,1.056804707
1,3.03,36.38,3.64,356,2.487441693
0,1.99,18.2,3.86,278,0.421745017
0,0.5,9.18,2.75,294,1.59478245
1,2.66,25.08,1.8,799,2.442478255
1,4.43,15.75,1.54,451,1.792672267
1,4.85,-5.82,2.54,779,2.170893291
1,4.13,33.96,0.58,731,2.646957834
0,1.56,-5.38,1.3,212,1.205626125
1,1.88,29.91,2.73,701,2.22743432
1,3.42,20.57,2.04,779,1.306649892
1,4.6,-3.56,0.49,365,2.720541605
1,1.28,11.02,0.56,752,2.618882325
0,0.07,-11.4,3.13,315,1.439815447
0,2.95,4.87,3.3,317,0.576985338
0,0.62,26.53,2.6,328,1.540438938
0,2.6,-9.62,2.79,295,0.903586808
1,3.91,30.93,0.27,315,2.724568062
0,1.06,-13.52,1.46,288,1.496711587
1,1.37,11.4,1.43,738,1.620126484
0,0.72,0.18,2.83,290,1.464352414
0,2.49,7.43,1.87,139,0.636817633
0,1.04,-4.74,2.72,137,1.558203836
1,3.09,9.09,3.53,784,1.152819074
1,1.51,29.64,2.92,719,2.848104917
1,1.47,23.77,1.12,320,2.623938309
0,1.94,-4.58,1.85,188,1.063177946
1,2.29,-0.53,1.72,337,1.857873816
0,1.84,6.25,2.99,258,0.584982293
1,1.47,3.52,1.78,574,2.44222858
1,4.16,22.51,1.38,436,1.716601669
0,1.9,10.35,1.9,380,0.834971857
0,2.04,-13.43,3.47,252,1.588728325
0,0.81,6.01,3.03,206,1.544276906
1,1.08,35.25,3.97,500,1.301964255
1,1.97,19.23,2.77,748,2.905461833
1,1.16,-6.6,2.83,583,2.199501444
0,2.5,-1.42,1.47,294,0.850819138
1,4.27,38.82,2.82,390,2.841230856
1,3.07,4.44,2.93,545,2.751433724
1,2.23,11.75,1.03,421,2.568228922
0,1.19,-14.08,3.19,355,1.764501322
1,2.77,30.15,2.25,518,1.972321733
1,3.26,40.1,1.42,431,1.557418891
1,4.76,7.72,2.48,444,1.030197644
0,1.7,-13.57,2.93,172,1.934699577
1,3.26,22.26,3.71,395,1.488624513
1,1.09,33.23,0.83,599,1.021355609
0,1.27,5.7,1.75,279,0.173933216
0,2.5,28.6,3.11,234,0.540498663
1,4.4,8.81,0.08,310,1.17921581
1,1.06,-2.62,0.9,751,1.437953279
0,1.54,7.91,2.11,161,1.570590666
1,1.16,37.26,2.47,404,1.077471474
1,3.77,16.33,0.26,760,2.483897579
0,1.3,24.69,3.6,236,1.045505005
0,1.6,-11.59,3,387,0.437696944
1,2.22,1.79,0.58,652,2.851632583
